State,Year,Quarter,Brands,Count,Percentage,S.no
andaman-&-nicobar-islands,2019,4,Oppo,2329,0.089714946,81
andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194145,82
andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.043297381,83
andaman-&-nicobar-islands,2019,4,Huawei,798,0.030739599,84
andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186,85
andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103,86
andaman-&-nicobar-islands,2019,4,Lenovo,488,0.018798151,87
andaman-&-nicobar-islands,2019,4,Others,2183,0.084090909,88
andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.239812465,89
andaman-&-nicobar-islands,2020,1,Vivo,5880,0.207275804,90
andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064016,91
andaman-&-nicobar-islands,2020,1,Oppo,2557,0.090136774,92
andaman-&-nicobar-islands,2020,1,Realme,1511,0.053264241,93
andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.041737169,94
andaman-&-nicobar-islands,2020,1,Huawei,891,0.031408629,95
andaman-&-nicobar-islands,2020,1,Apple,735,0.025909475,96
andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204456,97
andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625494,98
andaman-&-nicobar-islands,2020,1,Others,2257,0.079561478,99
andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.238612045,100
andaman-&-nicobar-islands,2020,2,Vivo,7122,0.217731581,101
andaman-&-nicobar-islands,2020,2,Samsung,6030,0.184347294,102
andaman-&-nicobar-islands,2020,2,Oppo,2976,0.090981351,103
andaman-&-nicobar-islands,2020,2,Realme,1761,0.053836747,104
andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.038856619,105
andaman-&-nicobar-islands,2020,2,Huawei,1005,0.030724549,106
andaman-&-nicobar-islands,2020,2,Apple,792,0.024212779,107
andaman-&-nicobar-islands,2020,2,Motorola,779,0.023815347,108
andaman-&-nicobar-islands,2020,2,Lenovo,552,0.016875573,109
andaman-&-nicobar-islands,2020,2,Others,2617,0.080006114,110
andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.236942059,111
andaman-&-nicobar-islands,2020,3,Vivo,9556,0.231184226,112
andaman-&-nicobar-islands,2020,3,Samsung,7572,0.183186162,113
andaman-&-nicobar-islands,2020,3,Oppo,3730,0.090238297,114
andaman-&-nicobar-islands,2020,3,Realme,2285,0.055280029,115
andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.034837305,116
andaman-&-nicobar-islands,2020,3,Huawei,1213,0.029345591,117
andaman-&-nicobar-islands,2020,3,Motorola,907,0.021942664,118
andaman-&-nicobar-islands,2020,3,Apple,870,0.021047538,119
andaman-&-nicobar-islands,2020,3,Lenovo,606,0.014660699,120
andaman-&-nicobar-islands,2020,3,Others,3362,0.08133543,121
andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.236621116,122
andaman-&-nicobar-islands,2020,4,Vivo,12275,0.234273609,123
andaman-&-nicobar-islands,2020,4,Samsung,9938,0.189670967,124
andaman-&-nicobar-islands,2020,4,Oppo,4723,0.090140469,125
andaman-&-nicobar-islands,2020,4,Realme,2996,0.057179937,126
andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.031261928,127
andaman-&-nicobar-islands,2020,4,Huawei,1472,0.028093748,128
andaman-&-nicobar-islands,2020,4,Motorola,1032,0.01969616,129
andaman-&-nicobar-islands,2020,4,Apple,973,0.01857012,130
andaman-&-nicobar-islands,2020,4,Lenovo,708,0.013512482,131
andaman-&-nicobar-islands,2020,4,Others,4243,0.080979464,132
andaman-&-nicobar-islands,2021,1,Vivo,13812,0.239135704,133
andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.237438969,134
andaman-&-nicobar-islands,2021,1,Samsung,10861,0.188043215,135
andaman-&-nicobar-islands,2021,1,Oppo,5158,0.089303646,136
andaman-&-nicobar-islands,2021,1,Realme,3419,0.059195263,137
andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697046,138
andaman-&-nicobar-islands,2021,1,Huawei,1575,0.02726895,139
andaman-&-nicobar-islands,2021,1,Motorola,1062,0.018387063,140
andaman-&-nicobar-islands,2021,1,Apple,1056,0.018283182,141
andaman-&-nicobar-islands,2021,1,Tecno,796,0.013781641,142
andaman-&-nicobar-islands,2021,1,Others,4532,0.078465321,143
andaman-&-nicobar-islands,2021,2,Vivo,15056,0.242467187,144
andaman-&-nicobar-islands,2021,2,Xiaomi,14788,0.23815122,145
andaman-&-nicobar-islands,2021,2,Samsung,11476,0.184813592,146
andaman-&-nicobar-islands,2021,2,Oppo,5456,0.087865368,147
andaman-&-nicobar-islands,2021,2,Realme,4034,0.064964973,148
andaman-&-nicobar-islands,2021,2,OnePlus,1981,0.03190273,149
andaman-&-nicobar-islands,2021,2,Huawei,1559,0.025106691,150
andaman-&-nicobar-islands,2021,2,Apple,1153,0.018568323,151
andaman-&-nicobar-islands,2021,2,Motorola,1054,0.016973991,152
andaman-&-nicobar-islands,2021,2,Tecno,974,0.015685643,153
andaman-&-nicobar-islands,2021,2,Others,4564,0.073500282,154
andaman-&-nicobar-islands,2021,3,Vivo,16411,0.245006121,155
andaman-&-nicobar-islands,2021,3,Xiaomi,15938,0.237944522,156
andaman-&-nicobar-islands,2021,3,Samsung,12028,0.179570631,157
andaman-&-nicobar-islands,2021,3,Oppo,5853,0.087381685,158
andaman-&-nicobar-islands,2021,3,Realme,4808,0.071780478,159
andaman-&-nicobar-islands,2021,3,OnePlus,2306,0.03442716,160
andaman-&-nicobar-islands,2021,3,Huawei,1567,0.023394345,161
andaman-&-nicobar-islands,2021,3,Apple,1283,0.0191544,162
andaman-&-nicobar-islands,2021,3,Tecno,1178,0.017586814,163
andaman-&-nicobar-islands,2021,3,Motorola,1017,0.015183184,164
andaman-&-nicobar-islands,2021,3,Others,4593,0.068570661,165
andaman-&-nicobar-islands,2021,4,Vivo,17597,0.245151853,166
andaman-&-nicobar-islands,2021,4,Xiaomi,16968,0.236388966,167
andaman-&-nicobar-islands,2021,4,Samsung,12574,0.175174143,168
andaman-&-nicobar-islands,2021,4,Oppo,6127,0.085358038,169
andaman-&-nicobar-islands,2021,4,Realme,5830,0.081220396,170
andaman-&-nicobar-islands,2021,4,OnePlus,2691,0.037489551,171
andaman-&-nicobar-islands,2021,4,Apple,1490,0.020757871,172
andaman-&-nicobar-islands,2021,4,Huawei,1459,0.020325996,173
