State,Year,Quarter,Transaction_type,transaction_count,Transaction_amount,S.no
andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.5,68
andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.514,69
andaman-&-nicobar-islands,2021,2,Others,1628,1327080.056,70
andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837,71
andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.86,72
andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.2,73
andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.442,74
andaman-&-nicobar-islands,2021,3,Others,2103,1650766.127,75
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663,76
andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.6,77
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11,78
andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167,79
andaman-&-nicobar-islands,2021,4,Others,2855,2453640.143,80
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328506,81
andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.7,82
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66,83
andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.023,84
andaman-&-nicobar-islands,2022,1,Others,2643,2440321.982,85
andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9,86
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073,87
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.62,88
andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.393,89
andaman-&-nicobar-islands,2022,2,Others,3108,2449496.708,90
andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.3,91
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535155,92
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.63,93
andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.978,94
andaman-&-nicobar-islands,2022,3,Others,3477,2744060.671,95
andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.7,96
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630585,97
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.7,98
andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.23,99
andaman-&-nicobar-islands,2022,4,Others,3692,3107412.044,100
andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.7,101
andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283,102
andhra-pradesh,2018,1,Merchant payments,362672,247297640.2,103
andhra-pradesh,2018,1,Financial Services,204305,44808449.76,104
andhra-pradesh,2018,1,Others,395514,287626043,105
andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488,106
andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493099,107
andhra-pradesh,2018,2,Merchant payments,604847,436785223.9,108
andhra-pradesh,2018,2,Financial Services,225621,68952114.81,109
andhra-pradesh,2018,2,Others,322063,328092346.6,110
andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630445,111
andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098147,112
andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5,113
andhra-pradesh,2018,3,Financial Services,380324,60790077.57,114
andhra-pradesh,2018,3,Others,348725,284248675.6,115
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726,116
andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314,117
andhra-pradesh,2018,4,Merchant payments,2622131,1671585889,118
andhra-pradesh,2018,4,Financial Services,400837,57178116.4,119
andhra-pradesh,2018,4,Others,389411,315211361.3,120
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742,121
andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602,122
andhra-pradesh,2019,1,Merchant payments,5043682,2423536770,123
andhra-pradesh,2019,1,Financial Services,416325,47150177.53,124
andhra-pradesh,2019,1,Others,361263,284937624.5,125
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,1.04E+11,126
andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345388,127
andhra-pradesh,2019,2,Merchant payments,9226537,4613405203,128
andhra-pradesh,2019,2,Financial Services,145310,26626696.77,129
andhra-pradesh,2019,2,Others,448802,361492238.4,130
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,1.24E+11,131
andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984677,132
andhra-pradesh,2019,3,Merchant payments,16581787,7887394038,133
andhra-pradesh,2019,3,Financial Services,122270,29778183.03,134
andhra-pradesh,2019,3,Others,413437,298142027.6,135
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,1.79E+11,136
andhra-pradesh,2019,4,Merchant payments,25122370,13476303368,137
andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168606,138
andhra-pradesh,2019,4,Financial Services,105662,26796571.75,139
andhra-pradesh,2019,4,Others,338672,216496893.2,140
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,2.23E+11,141
andhra-pradesh,2020,1,Merchant payments,31408022,18603161784,142
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530778,143
andhra-pradesh,2020,1,Financial Services,75238,43739133.17,144
andhra-pradesh,2020,1,Others,292310,188228538.4,145
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,2.63E+11,146
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006437,147
andhra-pradesh,2020,2,Merchant payments,29976765,22625596525,148
andhra-pradesh,2020,2,Financial Services,140941,145274999.2,149
andhra-pradesh,2020,2,Others,176241,90087654.6,150
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,4.06E+11,151
andhra-pradesh,2020,3,Merchant payments,54055557,40739580214,152
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104675,153
andhra-pradesh,2020,3,Financial Services,243088,256074924.7,154
andhra-pradesh,2020,3,Others,312329,151582519.2,155
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,5.67E+11,156
andhra-pradesh,2020,4,Merchant payments,86581460,66654048150,157
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337212,158
andhra-pradesh,2020,4,Financial Services,265470,305168772.5,159
andhra-pradesh,2020,4,Others,457527,306853355.6,160
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,5.81E+11,161
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713,162
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964,163
andhra-pradesh,2021,1,Financial Services,225355,270313028.5,164
andhra-pradesh,2021,1,Others,347907,272546457.6,165
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,7.37E+11,166
andhra-pradesh,2021,2,Merchant payments,112875274,88512429437,167
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345,168
andhra-pradesh,2021,2,Financial Services,243237,265483044.4,169
andhra-pradesh,2021,2,Others,406842,308302224.4,170
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,8.38E+11,171
andhra-pradesh,2021,3,Merchant payments,158290953,1.18E+11,172
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958,173
andhra-pradesh,2021,3,Financial Services,211171,297239697.8,174
andhra-pradesh,2021,3,Others,547759,403948275.6,175
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,9.71E+11,176
andhra-pradesh,2021,4,Merchant payments,207538904,1.53E+11,177
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784714,178
andhra-pradesh,2021,4,Financial Services,243951,332740108.7,179
andhra-pradesh,2021,4,Others,701856,545223415.7,180
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1.09E+12,181
andhra-pradesh,2022,1,Merchant payments,242031836,1.69E+11,182
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036842,183
andhra-pradesh,2022,1,Financial Services,231651,324358965.1,184
andhra-pradesh,2022,1,Others,627694,474382234.3,185
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1.23E+12,186
andhra-pradesh,2022,2,Merchant payments,292530048,2.05E+11,187
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939,188
andhra-pradesh,2022,2,Financial Services,192751,245783011,189
andhra-pradesh,2022,2,Others,441925,357036084.9,190
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1.14E+12,191
andhra-pradesh,2022,3,Merchant payments,291033653,2.03E+11,192
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826,193
andhra-pradesh,2022,3,Financial Services,187190,239347241.5,194
andhra-pradesh,2022,3,Others,362484,323951101.6,195
andhra-pradesh,2022,4,Merchant payments,321632104,2.12E+11,196
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1.17E+12,197
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706,198
andhra-pradesh,2022,4,Financial Services,206459,250596592.1,199
andhra-pradesh,2022,4,Others,345658,339211363,200
arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.515,201
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72,202
arunachal-pradesh,2018,1,Merchant payments,1042,2420374.191,203
arunachal-pradesh,2018,1,Financial Services,416,58893.76202,204
arunachal-pradesh,2018,1,Others,1990,1834252.818,205
arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.54,206
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.2,207
arunachal-pradesh,2018,2,Merchant payments,2378,4718953.44,208
arunachal-pradesh,2018,2,Financial Services,559,363761.8016,209
arunachal-pradesh,2018,2,Others,2043,1842317.369,210
arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.91,211
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.5,212
arunachal-pradesh,2018,3,Merchant payments,4738,5505694.568,213
arunachal-pradesh,2018,3,Financial Services,507,72133.84525,214
arunachal-pradesh,2018,3,Others,2039,2044708.969,215
arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.88,216
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2,217
arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1,218
arunachal-pradesh,2018,4,Financial Services,561,100597.9038,219
arunachal-pradesh,2018,4,Others,2222,2446271.969,220
arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796895,221
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4,222
arunachal-pradesh,2019,1,Merchant payments,9214,11727218.4,223
arunachal-pradesh,2019,1,Financial Services,256,140622.8709,224
arunachal-pradesh,2019,1,Others,2239,2730548.598,225
arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41,226
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4,227
arunachal-pradesh,2019,2,Merchant payments,16828,13955724.13,228
arunachal-pradesh,2019,2,Financial Services,267,160660.8821,229
arunachal-pradesh,2019,2,Others,3046,3880742.524,230
arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94,231
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2,232
arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07,233
arunachal-pradesh,2019,3,Financial Services,864,64089.1135,234
arunachal-pradesh,2019,3,Others,2758,3419197.418,235
arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09,236
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137448,237
arunachal-pradesh,2019,4,Merchant payments,19769,23192271.69,238
arunachal-pradesh,2019,4,Financial Services,314,305379.7988,239
arunachal-pradesh,2019,4,Others,2376,3421174.012,240
arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77,241
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288,242
arunachal-pradesh,2020,1,Merchant payments,31181,28553052.13,243
arunachal-pradesh,2020,1,Financial Services,470,337812.9482,244
arunachal-pradesh,2020,1,Others,2261,2943873.067,245
arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.2,246
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426,247
arunachal-pradesh,2020,2,Merchant payments,35169,46446966.61,248
arunachal-pradesh,2020,2,Financial Services,1310,2655507.696,249
arunachal-pradesh,2020,2,Others,1939,1761404.402,250
arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.2,251
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431,252
arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69,253
arunachal-pradesh,2020,3,Financial Services,1761,4030599.917,254
arunachal-pradesh,2020,3,Others,3005,2695539.361,255
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938,256
arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.2,257
arunachal-pradesh,2020,4,Merchant payments,167387,156682926,258
arunachal-pradesh,2020,4,Financial Services,1749,2391651.878,259
arunachal-pradesh,2020,4,Others,4079,4055324.315,260
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488559,261
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9,262
arunachal-pradesh,2021,1,Merchant payments,155966,204958020.1,263
arunachal-pradesh,2021,1,Financial Services,1558,2672460.474,264
arunachal-pradesh,2021,1,Others,3074,3301662.609,265
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152,266
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.3,267
arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5,268
arunachal-pradesh,2021,2,Financial Services,1582,2761076.793,269
arunachal-pradesh,2021,2,Others,3755,3415105.338,270
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845,271
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.3,272
arunachal-pradesh,2021,3,Merchant payments,314658,449869060.8,273
arunachal-pradesh,2021,3,Financial Services,1934,3348547.827,274
arunachal-pradesh,2021,3,Others,4185,3912143.35,275
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378,276
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.3,277
arunachal-pradesh,2021,4,Merchant payments,521447,704195695,278
arunachal-pradesh,2021,4,Financial Services,2386,3933557.28,279
arunachal-pradesh,2021,4,Others,5901,4862905.886,280
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250,281
arunachal-pradesh,2022,1,Merchant payments,720803,917155358.7,282
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129,283
arunachal-pradesh,2022,1,Financial Services,3053,3359625.793,284
arunachal-pradesh,2022,1,Others,6052,5002264.113,285
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061475,286
arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517,287
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.2,288
arunachal-pradesh,2022,2,Financial Services,2466,4063469.1,289
arunachal-pradesh,2022,2,Others,5768,3864269.88,290
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284,291
arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143,292
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.8,293
arunachal-pradesh,2022,3,Financial Services,1997,4763324.776,294
arunachal-pradesh,2022,3,Others,4687,3224948.702,295
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088688,296
arunachal-pradesh,2022,4,Merchant payments,1704968,1669602213,297
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.6,298
arunachal-pradesh,2022,4,Financial Services,2617,3785469.399,299
arunachal-pradesh,2022,4,Others,4838,4020773.895,300
assam,2018,1,Recharge & bill payments,632092,93491181.14,301
assam,2018,1,Peer-to-peer payments,318025,993525196,302
assam,2018,1,Merchant payments,40482,34501622.89,303
assam,2018,1,Financial Services,18172,4936862.201,304
assam,2018,1,Others,48110,31349594,305
assam,2018,2,Recharge & bill payments,984160,174427478.2,306
assam,2018,2,Peer-to-peer payments,530781,2064314053,307
assam,2018,2,Merchant payments,79307,73366344.81,308
assam,2018,2,Financial Services,22773,7051504.658,309
assam,2018,2,Others,46852,31425754.73,310
assam,2018,3,Recharge & bill payments,1275136,254569069.3,311
assam,2018,3,Peer-to-peer payments,843571,3424136710,312
assam,2018,3,Merchant payments,159532,96783839.37,313
assam,2018,3,Financial Services,22677,4741123.822,314
assam,2018,3,Others,50935,30904247.88,315
assam,2018,4,Recharge & bill payments,1703488,317661277.3,316
assam,2018,4,Peer-to-peer payments,1279089,5284776455,317
assam,2018,4,Merchant payments,667293,240563395.3,318
assam,2018,4,Financial Services,28035,6331912.527,319
assam,2018,4,Others,56267,38689818.79,320
assam,2019,1,Recharge & bill payments,1993220,400281677.9,321
assam,2019,1,Peer-to-peer payments,1976310,7291433301,322
assam,2019,1,Merchant payments,494871,266644645.7,323
assam,2019,1,Financial Services,20162,4612454.113,324
assam,2019,1,Others,48442,39127457.94,325
assam,2019,2,Recharge & bill payments,2512932,539315772.9,326
assam,2019,2,Peer-to-peer payments,2293770,10035232821,327
assam,2019,2,Merchant payments,573646,326844709.6,328
assam,2019,2,Financial Services,13654,4037222.414,329
assam,2019,2,Others,60927,49538663.41,330
assam,2019,3,Peer-to-peer payments,2713539,11835800855,331
assam,2019,3,Recharge & bill payments,2645302,639885372.7,332
assam,2019,3,Merchant payments,513728,421380275.4,333
assam,2019,3,Financial Services,8606,6403456.345,334
assam,2019,3,Others,61396,46973660.74,335
assam,2019,4,Peer-to-peer payments,3222143,14083346879,336
assam,2019,4,Recharge & bill payments,2937800,704118874,337
assam,2019,4,Merchant payments,544053,456318130.1,338
assam,2019,4,Financial Services,9621,3492255.086,339
assam,2019,4,Others,46893,34707757.01,340
assam,2020,1,Peer-to-peer payments,4058740,18977446152,341
assam,2020,1,Recharge & bill payments,3897975,971722606.2,342
assam,2020,1,Merchant payments,792646,675423853,343
assam,2020,1,Financial Services,10173,7054325.508,344
assam,2020,1,Others,49326,36781411.34,345
assam,2020,2,Recharge & bill payments,6045321,1612522829,346
assam,2020,2,Peer-to-peer payments,3648386,17358374071,347
assam,2020,2,Merchant payments,742400,749018053.2,348
assam,2020,2,Financial Services,19814,18130004.69,349
assam,2020,2,Others,49278,28255168.01,350
assam,2020,3,Peer-to-peer payments,5637893,26646565777,351
assam,2020,3,Recharge & bill payments,5292154,1627282416,352
assam,2020,3,Merchant payments,1383230,1492484153,353
assam,2020,3,Financial Services,24954,28452966.03,354
assam,2020,3,Others,59480,36605946.75,355
assam,2020,4,Peer-to-peer payments,7538478,36013292451,356
assam,2020,4,Recharge & bill payments,5383505,1662189124,357
assam,2020,4,Merchant payments,2392184,2466913306,358
assam,2020,4,Financial Services,29764,32314809.98,359
assam,2020,4,Others,79523,51901628.47,360
assam,2021,1,Peer-to-peer payments,9449096,45476079487,361
assam,2021,1,Recharge & bill payments,6494111,2103017762,362
assam,2021,1,Merchant payments,3459132,3657261586,363
assam,2021,1,Financial Services,34049,41291047.38,364
assam,2021,1,Others,75672,48814663.89,365
assam,2021,2,Peer-to-peer payments,11668399,51521387891,366
assam,2021,2,Recharge & bill payments,9058005,2657676415,367
assam,2021,2,Merchant payments,4562669,4914753140,368
assam,2021,2,Financial Services,49671,46106001.5,369
assam,2021,2,Others,94161,52549929.27,370
assam,2021,3,Peer-to-peer payments,15617592,64131823895,371
assam,2021,3,Recharge & bill payments,10284267,3248364164,372
assam,2021,3,Merchant payments,7431371,8208706348,373
assam,2021,3,Financial Services,39479,43889820.5,374
assam,2021,3,Others,131732,67715045.34,375
assam,2021,4,Peer-to-peer payments,21393962,86801625127,376
assam,2021,4,Merchant payments,12895755,13378765006,377
assam,2021,4,Recharge & bill payments,11484376,3842004488,378
assam,2021,4,Financial Services,60724,65456475.83,379
assam,2021,4,Others,185544,97116796.58,380
assam,2022,1,Peer-to-peer payments,27156085,1.09E+11,381
assam,2022,1,Merchant payments,19011883,18833132506,382
assam,2022,1,Recharge & bill payments,12474674,4424035840,383
assam,2022,1,Financial Services,68432,73257991.39,384
assam,2022,1,Others,178812,94659207.47,385
assam,2022,2,Peer-to-peer payments,33879530,1.24E+11,386
assam,2022,2,Merchant payments,28377534,24333260090,387
assam,2022,2,Recharge & bill payments,13858113,4814695680,388
assam,2022,2,Financial Services,50785,55549153.74,389
assam,2022,2,Others,168763,77624058.02,390
assam,2022,3,Peer-to-peer payments,37000266,1.27E+11,391
assam,2022,3,Merchant payments,34935460,28789992307,392
assam,2022,3,Recharge & bill payments,13974568,5295136932,393
assam,2022,3,Financial Services,65066,62882386.46,394
assam,2022,3,Others,138451,76363577.27,395
assam,2022,4,Peer-to-peer payments,44828832,1.51E+11,396
assam,2022,4,Merchant payments,43605784,36033810142,397
assam,2022,4,Recharge & bill payments,15344794,5773980885,398
assam,2022,4,Financial Services,74414,75960367.92,399
assam,2022,4,Others,127443,76370123.6,400
bihar,2018,1,Recharge & bill payments,3159922,375559206.8,401
bihar,2018,1,Peer-to-peer payments,2052089,5295346761,402
bihar,2018,1,Financial Services,194295,33999413.88,403
bihar,2018,1,Merchant payments,138885,139827755.7,404
bihar,2018,1,Others,279111,201025034.2,405
bihar,2018,2,Recharge & bill payments,4346849,700649777.1,406
bihar,2018,2,Peer-to-peer payments,3447898,12141448845,407
bihar,2018,2,Merchant payments,311487,318571872.8,408
bihar,2018,2,Financial Services,267433,45332532.1,409
bihar,2018,2,Others,258711,300128082.6,410
bihar,2018,3,Peer-to-peer payments,8893764,18695889188,411
bihar,2018,3,Recharge & bill payments,4401439,804061398.5,412
bihar,2018,3,Merchant payments,586862,367608510.7,413
bihar,2018,3,Financial Services,274510,33276460.45,414
bihar,2018,3,Others,211229,234968821.3,415
bihar,2018,4,Peer-to-peer payments,8094296,26224303883,416
bihar,2018,4,Recharge & bill payments,5469096,986310785,417
bihar,2018,4,Merchant payments,1680664,848968693.1,418
bihar,2018,4,Financial Services,237247,36199427.51,419
bihar,2018,4,Others,251098,302214380.2,420
bihar,2019,1,Peer-to-peer payments,16807040,38824078062,421
bihar,2019,1,Recharge & bill payments,7036367,1333688183,422
bihar,2019,1,Merchant payments,2055267,1024997000,423
bihar,2019,1,Financial Services,204689,28599535.73,424
bihar,2019,1,Others,252871,291464734.4,425
bihar,2019,2,Peer-to-peer payments,15837449,58381285241,426
bihar,2019,2,Recharge & bill payments,9279442,1996804238,427
bihar,2019,2,Merchant payments,4365465,2308145850,428
bihar,2019,2,Financial Services,129603,63338108.54,429
bihar,2019,2,Others,348520,382864846.1,430
bihar,2019,3,Peer-to-peer payments,15446119,61831776093,431
bihar,2019,3,Recharge & bill payments,9115040,2140566975,432
bihar,2019,3,Merchant payments,7206001,3413490288,433
bihar,2019,3,Financial Services,89997,20145460.43,434
bihar,2019,3,Others,282743,286804437.7,435
