State,District,Year,Quarter,Count,Amount,S.no
andhra-pradesh,prakasam district,2018,2,739991,1571167562,79
andhra-pradesh,anantapur district,2018,2,937023,1690366079,80
andhra-pradesh,ysr district,2018,2,690842,1415500368,81
andhra-pradesh,west godavari district,2018,2,786033,1688025212,82
andhra-pradesh,kurnool district,2018,2,968439,1531888666,83
andhra-pradesh,chittoor district,2018,2,1185723,1990419126,84
andhra-pradesh,guntur district,2018,2,1088101,2108475812,85
andhra-pradesh,krishna district,2018,2,1224987,2448141593,86
andhra-pradesh,east godavari district,2018,3,3226907,3551247095,87
andhra-pradesh,srikakulam district,2018,3,1073883,1318322237,88
andhra-pradesh,spsr nellore district,2018,3,1308890,2215938596,89
andhra-pradesh,vizianagaram district,2018,3,970132,1163546007,90
andhra-pradesh,visakhapatnam district,2018,3,3394576,4821892253,91
andhra-pradesh,prakasam district,2018,3,1319651,2346453445,92
andhra-pradesh,anantapur district,2018,3,1815215,2681787750,93
andhra-pradesh,ysr district,2018,3,1557444,2235904512,94
andhra-pradesh,west godavari district,2018,3,1431282,2309078493,95
andhra-pradesh,kurnool district,2018,3,2921189,2908389262,96
andhra-pradesh,chittoor district,2018,3,2297429,3283517631,97
andhra-pradesh,guntur district,2018,3,1912529,3127764663,98
andhra-pradesh,krishna district,2018,3,2396934,3754202654,99
andhra-pradesh,east godavari district,2018,4,3052762,4652624623,100
andhra-pradesh,srikakulam district,2018,4,1252807,1870278610,101
andhra-pradesh,spsr nellore district,2018,4,1814997,3293448557,102
andhra-pradesh,vizianagaram district,2018,4,1386787,1817673253,103
andhra-pradesh,visakhapatnam district,2018,4,4791421,7366635865,104
andhra-pradesh,prakasam district,2018,4,1692862,3255254226,105
andhra-pradesh,anantapur district,2018,4,2286391,3975878156,106
andhra-pradesh,ysr district,2018,4,1732527,3252340063,107
andhra-pradesh,west godavari district,2018,4,1688482,3237504255,108
andhra-pradesh,kurnool district,2018,4,2508530,3626544852,109
andhra-pradesh,chittoor district,2018,4,3166201,4979093890,110
andhra-pradesh,guntur district,2018,4,2546620,4730251218,111
andhra-pradesh,krishna district,2018,4,2839161,5416251838,112
andhra-pradesh,east godavari district,2019,1,5440146,7382264725,113
andhra-pradesh,srikakulam district,2019,1,2526855,3407912878,114
andhra-pradesh,spsr nellore district,2019,1,3333584,5161932216,115
andhra-pradesh,vizianagaram district,2019,1,2798241,3364576948,116
andhra-pradesh,visakhapatnam district,2019,1,9690866,13459857441,117
andhra-pradesh,prakasam district,2019,1,2931081,4807527779,118
andhra-pradesh,anantapur district,2019,1,3891336,6044730653,119
andhra-pradesh,ysr district,2019,1,2852197,4915811594,120
andhra-pradesh,west godavari district,2019,1,2829437,4623764455,121
andhra-pradesh,kurnool district,2019,1,4193432,5541564893,122
andhra-pradesh,chittoor district,2019,1,6486813,8223371732,123
andhra-pradesh,guntur district,2019,1,4846553,7765934169,124
andhra-pradesh,krishna district,2019,1,5443981,9061346433,125
andhra-pradesh,east godavari district,2019,2,4699261,9116404622,126
andhra-pradesh,srikakulam district,2019,2,2019203,4066576540,127
andhra-pradesh,spsr nellore district,2019,2,3141891,6880873007,128
andhra-pradesh,vizianagaram district,2019,2,2272320,4443041665,129
andhra-pradesh,visakhapatnam district,2019,2,11705738,20797479804,130
andhra-pradesh,prakasam district,2019,2,2670529,6262396448,131
andhra-pradesh,anantapur district,2019,2,3578836,7830782361,132
andhra-pradesh,ysr district,2019,2,2606284,6376856828,133
andhra-pradesh,west godavari district,2019,2,2402074,5676818259,134
andhra-pradesh,kurnool district,2019,2,3895824,7358285187,135
andhra-pradesh,chittoor district,2019,2,5983308,10982727976,136
andhra-pradesh,guntur district,2019,2,5005275,10405246943,137
andhra-pradesh,krishna district,2019,2,6428472,13437029116,138
andhra-pradesh,east godavari district,2019,3,6537303,11387726471,139
andhra-pradesh,srikakulam district,2019,3,2556296,4610131290,140
andhra-pradesh,spsr nellore district,2019,3,4150195,8256600119,141
andhra-pradesh,vizianagaram district,2019,3,2861581,4922069039,142
andhra-pradesh,visakhapatnam district,2019,3,16694947,26944837120,143
andhra-pradesh,prakasam district,2019,3,3430750,7354502261,144
andhra-pradesh,anantapur district,2019,3,4889720,9554081289,145
andhra-pradesh,ysr district,2019,3,3296586,7447544274,146
andhra-pradesh,west godavari district,2019,3,3179541,6627629029,147
andhra-pradesh,kurnool district,2019,3,5139134,9025632779,148
andhra-pradesh,chittoor district,2019,3,8201783,13837455759,149
andhra-pradesh,guntur district,2019,3,6942304,13075661264,150
andhra-pradesh,krishna district,2019,3,8408474,16404073561,151
andhra-pradesh,east godavari district,2019,4,9285739,16816774065,152
andhra-pradesh,srikakulam district,2019,4,3712555,6832369302,153
andhra-pradesh,spsr nellore district,2019,4,5877804,11786014089,154
andhra-pradesh,vizianagaram district,2019,4,3998234,7175851807,155
andhra-pradesh,visakhapatnam district,2019,4,23594874,39133296330,156
andhra-pradesh,prakasam district,2019,4,4865473,10604077825,157
andhra-pradesh,anantapur district,2019,4,6764112,13887248889,158
andhra-pradesh,ysr district,2019,4,4793157,10865073856,159
andhra-pradesh,west godavari district,2019,4,4596479,9710614747,160
andhra-pradesh,kurnool district,2019,4,7001958,13233105729,161
andhra-pradesh,chittoor district,2019,4,11246986,19298476028,162
andhra-pradesh,guntur district,2019,4,9761330,18565626418,163
andhra-pradesh,krishna district,2019,4,11719402,23039786404,164
andhra-pradesh,east godavari district,2020,1,11346242,21854701379,165
andhra-pradesh,srikakulam district,2020,1,4835092,9777575594,166
andhra-pradesh,spsr nellore district,2020,1,7430247,15387829694,167
andhra-pradesh,vizianagaram district,2020,1,5042066,9879174241,168
andhra-pradesh,visakhapatnam district,2020,1,27115031,48809747615,169
andhra-pradesh,prakasam district,2020,1,6318396,14169104765,170
andhra-pradesh,anantapur district,2020,1,8466129,17864325753,171
andhra-pradesh,ysr district,2020,1,6031255,14059924637,172
andhra-pradesh,west godavari district,2020,1,5919670,12995834341,173
andhra-pradesh,kurnool district,2020,1,8246869,17022710312,174
andhra-pradesh,chittoor district,2020,1,13257740,23441848567,175
andhra-pradesh,guntur district,2020,1,11493331,22992734621,176
andhra-pradesh,krishna district,2020,1,12175289,24481702771,177
andhra-pradesh,east godavari district,2020,2,13130334,26319906327,178
andhra-pradesh,srikakulam district,2020,2,6425515,12153650077,179
andhra-pradesh,spsr nellore district,2020,2,9454274,20665376461,180
andhra-pradesh,vizianagaram district,2020,2,6690313,12819344390,181
andhra-pradesh,visakhapatnam district,2020,2,25300401,48293889917,182
andhra-pradesh,prakasam district,2020,2,8844580,19846026727,183
andhra-pradesh,anantapur district,2020,2,10473739,22094006659,184
andhra-pradesh,ysr district,2020,2,8033609,19597207268,185
andhra-pradesh,west godavari district,2020,2,7273096,16585866855,186
